obs_type,chem,model_pa,model_all
impact_mean,Barium,34.5911,49.1742
impact_median,Barium,,
concentration_mean,Barium,42.174,58.391
concentration_median,Barium,,
well_n_mean,Barium,48.588,52.7131
well_n_median,Barium,,
impact_mean,Bromide,-36.0949,-38.6098
impact_median,Bromide,,
concentration_mean,Bromide,166.85,120.175
concentration_median,Bromide,,
well_n_mean,Bromide,46.7315,55.8422
well_n_median,Bromide,,
impact_mean,Chloride,28666.9758,47338.2886
impact_median,Chloride,,
concentration_mean,Chloride,24936.29,44783.72
concentration_median,Chloride,,
well_n_mean,Chloride,42.7112,51.1877
well_n_median,Chloride,,
impact_mean,Strontium,147.4798,282.6718
impact_median,Strontium,,
concentration_mean,Strontium,146.133,306.114
concentration_median,Strontium,,
well_n_mean,Strontium,47.4865,45.3898
well_n_median,Strontium,,
,,,
,,,
